accession,sample,deletion,time,category
GSM3168557 ,NH_101_1_1,tpa1_ett1,0,tap1_ett1
GSM3168558 ,NH_101_1_2,tpa1_ett1,0,tap1_ett1
GSM3168559 ,NH_101_2_1,tpa1_ett1,5,tap1_ett1
GSM3168560 ,NH_101_2_2,tpa1_ett1,5,tap1_ett1
GSM3168561 ,NH_101_3_1,tpa1_ett1,10,tap1_ett1
GSM3168562 ,NH_101_3_2,tpa1_ett1,10,tap1_ett1
GSM3168563 ,NH_101_4_1,tpa1_ett1,30,tap1_ett1
GSM3168564 ,NH_101_4_2,tpa1_ett1,30,tap1_ett1
GSM3168565 ,NH_101_5_1,tpa1_ett1,60,tap1_ett1
GSM3168566 ,NH_101_5_2,tpa1_ett1,60,tap1_ett1
GSM3168567 ,NH_101_6_1,tpa1_ett1,120,tap1_ett1
GSM3168568 ,NH_101_6_2,tpa1_ett1,120,tap1_ett1
GSM3168569 ,NH_101_7_1,tpa1_ett1,180,tap1_ett1
GSM3168570 ,NH_101_7_2,tpa1_ett1,180,tap1_ett1
GSM3168571 ,NH_101_8_1,tpa1_ett1,240,tap1_ett1
GSM3168572 ,NH_101_8_2,tpa1_ett1,240,tap1_ett1
GSM3168573 ,NH_54_1_1,hap1,0,hap_rox_mot
GSM3168574 ,NH_54_1_2,hap1,0,hap_rox_mot
GSM3168575 ,NH_54_2_1,hap1,5,hap_rox_mot
GSM3168576 ,NH_54_2_2,hap1,5,hap_rox_mot
GSM3168577 ,NH_54_3_1,hap1,10,hap_rox_mot
GSM3168578 ,NH_54_3_2,hap1,10,hap_rox_mot
GSM3168579 ,NH_54_4_1,hap1,30,hap_rox_mot
GSM3168580 ,NH_54_4_2,hap1,30,hap_rox_mot
GSM3168581 ,NH_54_5_1,hap1,60,hap_rox_mot
GSM3168582 ,NH_54_5_2,hap1,60,hap_rox_mot
GSM3168583 ,NH_54_6_1,hap1,120,hap_rox_mot
GSM3168584 ,NH_54_6_2,hap1,120,hap_rox_mot
GSM3168585 ,NH_54_7_1,hap1,180,hap_rox_mot
GSM3168586 ,NH_54_7_2,hap1,180,hap_rox_mot
GSM3168587 ,NH_54_8_1,hap1,240,hap_rox_mot
GSM3168588 ,NH_54_8_2,hap1,240,hap_rox_mot
GSM3168589 ,NH_55_1_1,hap2,0,hap_rox_mot
GSM3168590 ,NH_55_1_2,hap2,0,hap_rox_mot
GSM3168591 ,NH_55_2_1,hap2,5,hap_rox_mot
GSM3168592 ,NH_55_2_2,hap2,5,hap_rox_mot
GSM3168593 ,NH_55_3_1,hap2,10,hap_rox_mot
GSM3168594 ,NH_55_3_2,hap2,10,hap_rox_mot
GSM3168595 ,NH_55_4_1,hap2,30,hap_rox_mot
GSM3168596 ,NH_55_4_2,hap2,30,hap_rox_mot
GSM3168597 ,NH_55_5_1,hap2,60,hap_rox_mot
GSM3168598 ,NH_55_5_2,hap2,60,hap_rox_mot
GSM3168599 ,NH_55_6_1,hap2,120,hap_rox_mot
GSM3168600 ,NH_55_6_2,hap2,120,hap_rox_mot
GSM3168601 ,NH_55_7_1,hap2,180,hap_rox_mot
GSM3168602 ,NH_55_7_2,hap2,180,hap_rox_mot
GSM3168603 ,NH_55_8_1,hap2,240,hap_rox_mot
GSM3168604 ,NH_55_8_2,hap2,240,hap_rox_mot
GSM3168605 ,NH_62_9_1,hap4,0,hap_rox_mot
GSM3168606 ,NH_62_9_2,hap4,0,hap_rox_mot
GSM3168607 ,NH_62_1_1,hap3,0,hap_rox_mot
GSM3168608 ,NH_62_1_2,hap3,0,hap_rox_mot
GSM3168609 ,NH_62_10_1,hap4,5,hap_rox_mot
GSM3168610 ,NH_62_10_2,hap4,5,hap_rox_mot
GSM3168611 ,NH_62_11_1,hap4,10,hap_rox_mot
GSM3168612 ,NH_62_11_2,hap4,10,hap_rox_mot
GSM3168613 ,NH_62_12_1,hap4,30,hap_rox_mot
GSM3168614 ,NH_62_12_2,hap4,30,hap_rox_mot
GSM3168615 ,NH_62_13_1,hap4,60,hap_rox_mot
GSM3168616 ,NH_62_13_2,hap4,60,hap_rox_mot
GSM3168617 ,NH_62_14_1,hap4,120,hap_rox_mot
GSM3168618 ,NH_62_14_2,hap4,120,hap_rox_mot
GSM3168619 ,NH_62_15_1,hap4,180,hap_rox_mot
GSM3168620 ,NH_62_15_2,hap4,180,hap_rox_mot
GSM3168621 ,NH_62_16_1,hap4,240,hap_rox_mot
GSM3168622 ,NH_62_16_2,hap4,240,hap_rox_mot
GSM3168623 ,NH_62_2_1,hap3,5,hap_rox_mot
GSM3168624 ,NH_62_2_2,hap3,5,hap_rox_mot
GSM3168625 ,NH_62_3_1,hap3,10,hap_rox_mot
GSM3168626 ,NH_62_3_2,hap3,10,hap_rox_mot
GSM3168627 ,NH_62_4_1,hap3,30,hap_rox_mot
GSM3168628 ,NH_62_4_2,hap3,30,hap_rox_mot
GSM3168629 ,NH_62_5_1,hap3,60,hap_rox_mot
GSM3168630 ,NH_62_5_2,hap3,60,hap_rox_mot
GSM3168631 ,NH_62_6_1,hap3,120,hap_rox_mot
GSM3168632 ,NH_62_6_2,hap3,120,hap_rox_mot
GSM3168633 ,NH_62_7_1,hap3,180,hap_rox_mot
GSM3168634 ,NH_62_7_2,hap3,180,hap_rox_mot
GSM3168635 ,NH_62_8_1,hap3,240,hap_rox_mot
GSM3168636 ,NH_62_8_2,hap3,240,hap_rox_mot
GSM3168637 ,NH_64_1_1,hap5,0,hap_rox_mot
GSM3168638 ,NH_64_1_2,hap5,0,hap_rox_mot
GSM3168639 ,NH_64_2_1,hap5,5,hap_rox_mot
GSM3168640 ,NH_64_2_2,hap5,5,hap_rox_mot
GSM3168641 ,NH_64_3_1,hap5,10,hap_rox_mot
GSM3168642 ,NH_64_3_2,hap5,10,hap_rox_mot
GSM3168643 ,NH_64_4_1,hap5,30,hap_rox_mot
GSM3168644 ,NH_64_4_2,hap5,30,hap_rox_mot
GSM3168645 ,NH_64_5_1,hap5,60,hap_rox_mot
GSM3168646 ,NH_64_5_2,hap5,60,hap_rox_mot
GSM3168647 ,NH_64_6_1,hap5,120,hap_rox_mot
GSM3168648 ,NH_64_6_2,hap5,120,hap_rox_mot
GSM3168649 ,NH_64_7_1,hap5,180,hap_rox_mot
GSM3168650 ,NH_64_7_2,hap5,180,hap_rox_mot
GSM3168651 ,NH_64_8_1,hap5,240,hap_rox_mot
GSM3168652 ,NH_64_8_2,hap5,240,hap_rox_mot
GSM3168653 ,NH_66_1_1,hap2_hap3_hap4_hap5,0,hap_rox_mot
GSM3168654 ,NH_66_1_2,hap2_hap3_hap4_hap5,0,hap_rox_mot
GSM3168655 ,NH_66_2_1,hap2_hap3_hap4_hap5,5,hap_rox_mot
GSM3168656 ,NH_66_2_2,hap2_hap3_hap4_hap5,5,hap_rox_mot
GSM3168657 ,NH_66_3_1,hap2_hap3_hap4_hap5,10,hap_rox_mot
GSM3168658 ,NH_66_3_2,hap2_hap3_hap4_hap5,10,hap_rox_mot
GSM3168659 ,NH_66_4_1,hap2_hap3_hap4_hap5,30,hap_rox_mot
GSM3168660 ,NH_66_4_2,hap2_hap3_hap4_hap5,30,hap_rox_mot
GSM3168661 ,NH_66_5_1,hap2_hap3_hap4_hap5,60,hap_rox_mot
GSM3168662 ,NH_66_5_2,hap2_hap3_hap4_hap5,60,hap_rox_mot
GSM3168663 ,NH_66_6_1,hap2_hap3_hap4_hap5,120,hap_rox_mot
GSM3168664 ,NH_66_6_2,hap2_hap3_hap4_hap5,120,hap_rox_mot
GSM3168665 ,NH_66_7_1,hap2_hap3_hap4_hap5,180,hap_rox_mot
GSM3168666 ,NH_66_7_2,hap2_hap3_hap4_hap5,180,hap_rox_mot
GSM3168667 ,NH_66_8_1,hap2_hap3_hap4_hap5,240,hap_rox_mot
GSM3168668 ,NH_66_8_2,hap2_hap3_hap4_hap5,240,hap_rox_mot
GSM3168669 ,NH_68_1_1,mot3,0,hap_rox_mot
GSM3168670 ,NH_68_1_2,mot3,0,hap_rox_mot
GSM3168671 ,NH_68_2_1,mot3,5,hap_rox_mot
GSM3168672 ,NH_68_2_2,mot3,5,hap_rox_mot
GSM3168673 ,NH_68_3_1,mot3,10,hap_rox_mot
GSM3168674 ,NH_68_3_2,mot3,10,hap_rox_mot
GSM3168675 ,NH_68_4_1,mot3,30,hap_rox_mot
GSM3168676 ,NH_68_4_2,mot3,30,hap_rox_mot
GSM3168677 ,NH_68_5_1,mot3,60,hap_rox_mot
GSM3168678 ,NH_68_5_2,mot3,60,hap_rox_mot
GSM3168679 ,NH_68_6_1,mot3,120,hap_rox_mot
GSM3168680 ,NH_68_6_2,mot3,120,hap_rox_mot
GSM3168681 ,NH_68_7_1,mot3,180,hap_rox_mot
GSM3168682 ,NH_68_7_2,mot3,180,hap_rox_mot
GSM3168683 ,NH_68_8_1,mot3,240,hap_rox_mot
GSM3168684 ,NH_68_8_2,mot3,240,hap_rox_mot
GSM3168685 ,NH_70_1_1,rox1,0,hap_rox_mot
GSM3168686 ,NH_70_1_2,rox1,0,hap_rox_mot
GSM3168687 ,NH_70_2_1,rox1,5,hap_rox_mot
GSM3168688 ,NH_70_2_2,rox1,5,hap_rox_mot
GSM3168689 ,NH_70_3_1,rox1,10,hap_rox_mot
GSM3168690 ,NH_70_3_2,rox1,10,hap_rox_mot
GSM3168691 ,NH_70_4_1,rox1,30,hap_rox_mot
GSM3168692 ,NH_70_4_2,rox1,30,hap_rox_mot
GSM3168693 ,NH_70_5_1,rox1,60,hap_rox_mot
GSM3168694 ,NH_70_5_2,rox1,60,hap_rox_mot
GSM3168695 ,NH_70_6_1,rox1,120,hap_rox_mot
GSM3168696 ,NH_70_6_2,rox1,120,hap_rox_mot
GSM3168697 ,NH_70_7_1,rox1,180,hap_rox_mot
GSM3168698 ,NH_70_7_2,rox1,180,hap_rox_mot
GSM3168699 ,NH_70_8_1,rox1,240,hap_rox_mot
GSM3168700 ,NH_70_8_2,rox1,240,hap_rox_mot
GSM3168701 ,NH_73_1_1,hap1_rox1_mot3,0,hap_rox_mot
GSM3168702 ,NH_73_1_2,hap1_rox1_mot3,0,hap_rox_mot
GSM3168703 ,NH_73_2_1,hap1_rox1_mot3,5,hap_rox_mot
GSM3168704 ,NH_73_2_2,hap1_rox1_mot3,5,hap_rox_mot
GSM3168705 ,NH_73_3_1,hap1_rox1_mot3,10,hap_rox_mot
GSM3168706 ,NH_73_3_2,hap1_rox1_mot3,10,hap_rox_mot
GSM3168707 ,NH_73_4_1,hap1_rox1_mot3,30,hap_rox_mot
GSM3168708 ,NH_73_4_2,hap1_rox1_mot3,30,hap_rox_mot
GSM3168709 ,NH_73_5_1,hap1_rox1_mot3,60,hap_rox_mot
GSM3168710 ,NH_73_5_2,hap1_rox1_mot3,60,hap_rox_mot
GSM3168711 ,NH_73_6_1,hap1_rox1_mot3,120,hap_rox_mot
GSM3168712 ,NH_73_6_2,hap1_rox1_mot3,120,hap_rox_mot
GSM3168713 ,NH_73_7_1,hap1_rox1_mot3,180,hap_rox_mot
GSM3168714 ,NH_73_7_2,hap1_rox1_mot3,180,hap_rox_mot
GSM3168715 ,NH_73_8_1,hap1_rox1_mot3,240,hap_rox_mot
GSM3168716 ,NH_73_8_2,hap1_rox1_mot3,240,hap_rox_mot
GSM3168717 ,NH_75_1_1,rox1_mot3,0,hap_rox_mot
GSM3168718 ,NH_75_1_2,rox1_mot3,0,hap_rox_mot
GSM3168719 ,NH_75_2_1,rox1_mot3,5,hap_rox_mot
GSM3168720 ,NH_75_2_2,rox1_mot3,5,hap_rox_mot
GSM3168721 ,NH_75_3_1,rox1_mot3,10,hap_rox_mot
GSM3168722 ,NH_75_3_2,rox1_mot3,10,hap_rox_mot
GSM3168723 ,NH_75_4_1,rox1_mot3,30,hap_rox_mot
GSM3168724 ,NH_75_4_2,rox1_mot3,30,hap_rox_mot
GSM3168725 ,NH_75_5_1,rox1_mot3,60,hap_rox_mot
GSM3168726 ,NH_75_5_2,rox1_mot3,60,hap_rox_mot
GSM3168727 ,NH_75_6_1,rox1_mot3,120,hap_rox_mot
GSM3168728 ,NH_75_6_2,rox1_mot3,120,hap_rox_mot
GSM3168729 ,NH_75_7_1,rox1_mot3,180,hap_rox_mot
GSM3168730 ,NH_75_7_2,rox1_mot3,180,hap_rox_mot
GSM3168731 ,NH_75_8_1,rox1_mot3,240,hap_rox_mot
GSM3168732 ,NH_75_8_2,rox1_mot3,240,hap_rox_mot
GSM3168733 ,NH_76_1_1,dsc1,0,dsc
GSM3168734 ,NH_76_1_2,dsc1,0,dsc
GSM3168735 ,NH_76_2_1,dsc1,5,dsc
GSM3168736 ,NH_76_2_2,dsc1,5,dsc
GSM3168737 ,NH_76_3_1,dsc1,10,dsc
GSM3168738 ,NH_76_3_2,dsc1,10,dsc
GSM3168739 ,NH_76_4_1,dsc1,30,dsc
GSM3168740 ,NH_76_4_2,dsc1,30,dsc
GSM3168741 ,NH_76_5_1,dsc1,60,dsc
GSM3168742 ,NH_76_5_2,dsc1,60,dsc
GSM3168743 ,NH_76_6_1,dsc1,120,dsc
GSM3168744 ,NH_76_6_2,dsc1,120,dsc
GSM3168745 ,NH_76_7_1,dsc1,180,dsc
GSM3168746 ,NH_76_7_2,dsc1,180,dsc
GSM3168747 ,NH_76_8_1,dsc1,240,dsc
GSM3168748 ,NH_76_8_2,dsc1,240,dsc
GSM3168749 ,NH_78_1_1,dsc2,0,dsc
GSM3168750 ,NH_78_1_2,dsc2,0,dsc
GSM3168751 ,NH_78_2_1,dsc2,5,dsc
GSM3168752 ,NH_78_2_2,dsc2,5,dsc
GSM3168753 ,NH_78_3_1,dsc2,10,dsc
GSM3168754 ,NH_78_3_2,dsc2,10,dsc
GSM3168755 ,NH_78_4_1,dsc2,30,dsc
GSM3168756 ,NH_78_4_2,dsc2,30,dsc
GSM3168757 ,NH_78_5_1,dsc2,60,dsc
GSM3168758 ,NH_78_5_2,dsc2,60,dsc
GSM3168759 ,NH_78_6_1,dsc2,120,dsc
GSM3168760 ,NH_78_6_2,dsc2,120,dsc
GSM3168761 ,NH_78_7_1,dsc2,180,dsc
GSM3168762 ,NH_78_7_2,dsc2,180,dsc
GSM3168763 ,NH_78_8_1,dsc2,240,dsc
GSM3168764 ,NH_78_8_2,dsc2,240,dsc
GSM3168765 ,NH_82_1_1,dsc3,0,dsc
GSM3168766 ,NH_82_1_2,dsc3,0,dsc
GSM3168767 ,NH_82_2_1,dsc3,5,dsc
GSM3168768 ,NH_82_2_2,dsc3,5,dsc
GSM3168769 ,NH_82_3_1,dsc3,10,dsc
GSM3168770 ,NH_82_3_2,dsc3,10,dsc
GSM3168771 ,NH_82_4_1,dsc3,30,dsc
GSM3168772 ,NH_82_4_2,dsc3,30,dsc
GSM3168773 ,NH_82_5_1,dsc3,60,dsc
GSM3168774 ,NH_82_5_2,dsc3,60,dsc
GSM3168775 ,NH_82_6_1,dsc3,120,dsc
GSM3168776 ,NH_82_6_2,dsc3,120,dsc
GSM3168777 ,NH_82_7_1,dsc3,180,dsc
GSM3168778 ,NH_82_7_2,dsc3,180,dsc
GSM3168779 ,NH_82_8_1,dsc3,240,dsc
GSM3168780 ,NH_82_8_2,dsc3,240,dsc
GSM3168781 ,NH_84_1_1,dsc5,0,dsc
GSM3168782 ,NH_84_1_2,dsc5,0,dsc
GSM3168783 ,NH_84_2_1,dsc5,5,dsc
GSM3168784 ,NH_84_2_2,dsc5,5,dsc
GSM3168785 ,NH_84_3_1,dsc5,10,dsc
GSM3168786 ,NH_84_3_2,dsc5,10,dsc
GSM3168787 ,NH_84_4_1,dsc5,30,dsc
GSM3168788 ,NH_84_4_2,dsc5,30,dsc
GSM3168789 ,NH_84_5_1,dsc5,60,dsc
GSM3168790 ,NH_84_5_2,dsc5,60,dsc
GSM3168791 ,NH_84_6_1,dsc5,120,dsc
GSM3168792 ,NH_84_6_2,dsc5,120,dsc
GSM3168793 ,NH_84_7_1,dsc5,180,dsc
GSM3168794 ,NH_84_7_2,dsc5,180,dsc
GSM3168795 ,NH_84_8_1,dsc5,240,dsc
GSM3168796 ,NH_84_8_2,dsc5,240,dsc
GSM3168797 ,NH_86_1_1,dsc1_dsc2_dsc3_dsc5,0,dsc
GSM3168798 ,NH_86_1_2,dsc1_dsc2_dsc3_dsc5,0,dsc
GSM3168799 ,NH_86_2_1,dsc1_dsc2_dsc3_dsc5,5,dsc
GSM3168800 ,NH_86_2_2,dsc1_dsc2_dsc3_dsc5,5,dsc
GSM3168801 ,NH_86_3_1,dsc1_dsc2_dsc3_dsc5,10,dsc
GSM3168802 ,NH_86_3_2,dsc1_dsc2_dsc3_dsc5,10,dsc
